Question,Label
Explain JavaScript data types.,0
What are JavaScript frameworks?,0
What is React?,0
Explain React components.,0
What are React hooks?,0
What is the difference between conventional and object-oriented programming?,0
Compare conventional and object-oriented programming.,0
What is data abstraction?,0
Explain data abstraction in programming.,0
"What are objects, classes, and methods in programming?",0
"Explain the concept of objects, classes, and methods.",0
What are constructors in programming?,0
Explain the concept of constructors.,0
What are destructors in programming?,0
Explain the concept of destructors.,0
What is operator overloading in programming?,0
Explain the concept of operator overloading.,0
What are class and function templates in generic programming?,0
Explain the concept of class and function templates.,0
What is inheritance in object-oriented programming?,0
Explain the concept of inheritance.,0
What is multiple inheritance in object-oriented programming?,0
Explain the concept of multiple inheritance.,0
What is polymorphism in object-oriented programming?,0
Explain the concept of polymorphism.,0
What is aggregation in object-oriented programming?,0
Explain the concept of aggregation.,0
What is program debugging and testing?,0
Explain the concept of program debugging and testing.,0
What is event logging in software development?,0
Explain the concept of event logging.,0
What is propositional logic?,0
Explain the concept of propositional logic.,0
What are logical connectives in propositional logic?,0
Explain the concept of logical connectives.,0
What are truth tables in propositional logic?,0
Explain the concept of truth tables.,0
What is universal quantification in predicate logic?,0
Explain the concept of universal quantification.,0
What is existential quantification in predicate logic?,0
Explain the concept of existential quantification.,0
What is the rate of growth of algorithm complexity?,0
Explain rate of growth in algorithm analysis.,0
What are asymptotic notations?,0
Explain asymptotic notations in algorithm analysis.,0
What are time-space trade offs in algorithms?,0
Explain time-space trade offs in computer algorithms.,0
What are common operations on strings?,0
Explain operations on strings in computer programming.,0
What is word processing?,0
Explain word processing in computer applications.,0
What are pattern matching algorithms?,0
Explain pattern matching algorithms in computer science.,0
What are one-dimensional arrays?,0
Explain one-dimensional arrays in computer programming.,0
What are multi-dimensional arrays?,0
Explain multi-dimensional arrays in computer programming.,0
What are searching algorithms for arrays?,0
Explain searching algorithms for arrays in computer programming.,0
What are sorting algorithms for arrays?,0
Explain sorting algorithms for arrays in computer programming.,0
What is matrix multiplication?,0
Explain matrix multiplication in computer programming.,0
What are sparse matrices?,0
Explain sparse matrices in computer programming.,0
What are stacks?,0
Explain stacks in computer programming.,0
What are queues?,0
Explain queues in computer programming.,0
What is recursion?,0
Explain recursion in computer programming.,0
What is Polish Notation?,0
Explain Polish Notation in computer programming.,0
What is Quick-sort?,0
Explain Quick-sort algorithm.,0
What are Deques?,0
Explain Deques in computer programming.,0
What are Priority Queues?,0
Explain Priority Queues in computer programming.,0
What is Factorial Calculation?,0
Explain Factorial Calculation in computer programming.,0
What is Fibonacci Series?,0
Explain Fibonacci Series in computer programming.,0
What are Adders?,0
Explain Adders in computer hardware.,0
What are Decoders?,0
Explain Decoders in computer hardware.,0
What are Encoders?,0
Explain Encoders in computer hardware.,0
What are Multiplexers?,0
Explain Multiplexers in computer hardware.,0
What are Demultiplexers?,0
Explain Demultiplexers in computer hardware.,0
What are Binary Code Converters?,0
Explain Binary Code Converters in computer hardware.,0
What are Latches and Flip Flops?,0
Explain Latches and Flip Flops in computer hardware.,0
What are Shift Registers?,0
Explain Shift Registers in computer hardware.,0
What are Asynchronous Counters?,0
Explain Asynchronous Counters in computer hardware.,0
What are Mealy and Moore Machines?,0
Explain Mealy and Moore Machines in computer hardware.,0
What are Synchronous Counters?,0
Explain Synchronous Counters in computer hardware.,0
What are State Minimization Techniques?,0
Explain State Minimization Techniques in digital circuit design.,0
What is Read Only Memory (ROM)?,0
Explain Read Only Memory in computer systems.,0
What is Programmable Array Logic (PAL)?,0
Explain Programmable Array Logic in digital circuit design.,0
What is Programmable Logic Array (PLA)?,0
Explain Programmable Logic Array in digital circuit design.,0
What is Instruction Set Architecture (ISA)?,0
Explain Instruction Set Architecture in computer systems.,0
What is Accumulator-based Architecture?,0
Explain Accumulator-based Architecture in computer systems.,0
What is Stack-based Architecture?,0
Explain Stack-based Architecture in computer systems.,0
What is Register-Memory Architecture?,0
Explain Register-Memory Architecture in computer systems.,0
What is Register-Register Architecture?,0
Explain Register-Register Architecture in computer systems.,0
What are Instruction Encoding Techniques?,0
Explain Instruction Encoding Techniques in computer systems.,0
What is Computer Performance?,0
Explain Computer Performance in computer systems.,0
What are Common Pitfalls in computer performance?,0
Explain Common Pitfalls in computer systems.,0
What is Amdahl's Law?,0
Explain Amdahl's Law in computer systems.,0
What is Memory Hierarchy?,0
Explain Memory Hierarchy in computer systems.,0
What is Cache Memory?,0
Explain Cache Memory in computer systems.,0
What are Bus Standards?,0
Explain Bus Standards in computer systems.,0
What are Arbitration Schemes?,0
Explain Arbitration Schemes in computer systems.,0
What is Programmed I/O?,0
Explain Programmed I/O in computer systems.,0
What is Interrupt-Driven I/O?,0
Explain Interrupt-Driven I/O in computer systems.,0
What is Direct Memory Access (DMA)?,0
Explain DMA in computer systems.,0
What is CAP Theorem?,0
Explain CAP Theorem in distributed databases.,0
What are Distributed Databases?,0
Explain Distributed Databases.,0
What are Decision Support Systems?,0
Explain Decision Support Systems.,0
What is Data Warehousing?,0
Explain Data Warehousing.,0
What is Instruction Level Parallelism?,0
Explain Instruction Level Parallelism.,0
What are Pipeline Hazards?,0
Explain Pipeline Hazards in computer architectures.,0
What is Data Level Parallelism?,0
Explain Data Level Parallelism in computer architectures.,0
What is Branch Prediction?,0
Explain Branch Prediction in computer architectures.,0
What are Multiple Issue Architectures?,0
Explain Multiple Issue Architectures in computer processors.,0
What are Software Process Models?,0
Explain Software Process Models in software engineering.,0
What is Requirements Engineering Process?,0
Explain Requirements Engineering Process in software development.,0
What is Planning and Scheduling in software development?,0
Explain Planning and Scheduling in software projects.,0
What is Risk Management in software development?,0
Explain Risk Management in software projects.,0
What is Software Quality Assurance?,0
Explain Software Quality Assurance in software development.,0
What is the COCOMO model?,0
Explain COCOMO model in software development.,0
What is Software Maintenance?,0
Explain Software Maintenance in software development.,0
What is the OSI reference model?,0
Explain OSI reference model in computer networks.,0
What is the TCP/IP reference model?,0
Explain TCP/IP reference model in computer networks.,0
What is Software Defined Networking (SDN)?,0
Explain SDN in computer networks.,0
What are Virtual Network Functions (VNFs)?,0
Explain VNFs in computer networks.,0
What is IP addressing?,0
Explain IP addressing in computer networks.,0
What is IP subnetting?,0
Explain IP subnetting in computer networks.,0
What is network routing?,0
Explain network routing in computer networks.,0
What is Computational Intelligence?,0
Explain Computational Intelligence.,0
What are Searching Methodologies?,0
Explain Searching Methodologies.,0
What is First-Order Logic?,0
Explain First-Order Logic.,0
What are Genetic Algorithms?,0
Explain Genetic Algorithms.,0
What are Evolutionary Strategies?,0
Explain Evolutionary Strategies.,0
What are Kernels?,0
Explain Kernels.,0
What are Processes?,0
Explain Processes.,0
What are Threads?,0
Explain Threads.,0
What is Deadlock?,0
Explain Deadlock.,0
What are Scheduling Algorithms?,0
Explain Scheduling Algorithms.,0
What is Memory Management?,0
Explain Memory Management.,0
What is Secondary Storage Management?,0
Explain Secondary Storage Management.,0
What is File Management?,0
Explain File Management.,0
What is I/O Management?,0
Explain I/O Management.,0
What is Disk Scheduling?,0
Explain Disk Scheduling.,0
What is Internal Bus Architecture?,0
Explain Internal Bus Architecture.,0
What are Pin Functions?,0
Explain Pin Functions.,0
What are Memory Addressing Schemes?,0
Explain Memory Addressing Schemes.,0
What is Bus Buffering?,0
Explain Bus Buffering.,0
What are Bus Cycles?,0
Explain Bus Cycles.,0
What is a Clock Generation Circuit?,0
Explain Clock Generation Circuit.,0
What is a Reset Circuit?,0
Explain Reset Circuit.,0
What is Memory Interfacing?,0
Explain Memory Interfacing.,0
What is Basic I/O Interface?,0
Explain Basic I/O Interface.,0
What is a Programmable Peripheral Interface?,0
Explain Programmable Peripheral Interface.,0
What is a Programmable Interval Timer?,0
Explain Programmable Interval Timer.,0
What are Hardware Interrupts?,0
Explain Hardware Interrupts.,0
What is a Programmable Interrupt Controller?,0
Explain Programmable Interrupt Controller.,0
What are DMA Operations?,0
Explain DMA Operations.,0
What is the difference between Training and Testing in machine learning?,0
Explain Training vs. Testing.,0
What is the Theory of Generalization in machine learning?,0
Explain Theory of Generalization.,0
What is VC Dimension in machine learning?,0
Explain VC Dimension.,0
What are Generalization Bounds in machine learning?,0
Explain Generalization Bounds.,0
What is Bias-Variance Tradeoff in machine learning?,0
Explain Bias-Variance Tradeoff.,0
What is Stochastic Gradient Descent (SGD) in machine learning?,0
Explain Stochastic Gradient Descent.,0
What is the Backpropagation Algorithm in machine learning?,0
Explain Backpropagation Algorithm.,0
Write a NumPy program to repeat elements of an array. ,1
Write a Python function to create and print a list where the values are square of numbers between 1 and 30 (both included). ,1
Write a Python program to remove duplicates from a list of lists. ,1
Write a NumPy program to compute the x and y coordinates for points on a sine curve and plot the points using matplotlib. ,1
Write a Python program to alter a given SQLite table. ,1
Write a Python program to extract specified size of strings from a give list of string values using lambda. ,1
Write a Python program to create Fibonacci series upto n using Lambda. ,1
Write a Python program to sort unsorted numbers using Strand sort. ,1
Write a Python program to insert a specified element in a given list after every nth element. ,1
rite a Pandas program to create a Pivot table and find the maximum and minimum sale value of the items. ,1
Write a NumPy program to extract upper triangular part of a NumPy matrix. ,1
Write a Python program to find the maximum occurring character in a given string. ,1
"Write a Python program to find whether a given number (accept from the user) is even or odd, print out an appropriate message to the user. ",1
Write a NumPy program to create a new vector with 2 consecutive 0 between two values of a given vector. ,1
Write a Python program to count the occurrences of each word in a given sentence. ,1
Write a Python program that accepts a hyphen-separated sequence of words as input and prints the words in a hyphen-separated sequence after sorting them alphabetically. ,1
Write a Pandas program to insert a column at a specific index in a given DataFrame. ,1
Write a Python program to remove the last N number of elements from a given list. ,1
Write a Python program to find index position and value of the maximum and minimum values in a given list of numbers using lambda. ,1
Write a NumPy program to find the k smallest values of a given NumPy array. ,1
"Write a NumPy program to add one polynomial to another, subtract one polynomial from another, multiply one polynomial by another and divide one polynomial by another. ",1
Write a Python program to check common elements between two given list are in same order or not. ,1
Write a Python program to find numbers divisible by nineteen or thirteen from a list of numbers using Lambda. ,1
Write a NumPy program to multiply two given arrays of same size element-by-element. ,1
"Write a Python program to get a list, sorted in increasing order by the last element in each tuple from a given list of non-empty tuples. ",1
Write a Pandas program to replace the missing values with the most frequent values present in each column of a given DataFrame. ,1
"Write a NumPy program to split an array of 14 elements into 3 arrays, each of which has 2, 4, and 8 elements in the original order. ",1
Write a Python program to create a deep copy of a given dictionary. Use copy.copy,1
Write a Pandas program to create a subset of a given series based on value and condition. ,1
Write a Python program to get the items from a given list with specific condition. ,1
Write a Python program to read a file line by line store it into a variable. ,1
Write a Python program to get the current value of the recursion limit. ,1
Write a Python program to swap cases of a given string. ,1
"Write a Python program to convert an address (like ""1600 Amphitheatre Parkway, Mountain View, CA"") into geographic coordinates (like latitude 37.423021 and longitude -122.083739). ",1
Write a Python program to create a datetime from a given timezone-aware datetime using arrow module. ,1
Write a Python program to create a two-dimensional list from given list of lists. ,1
Write a Python program to invert a dictionary with unique hashable values. ,1
Write a NumPy program to access last two columns of a multidimensional columns. ,1
Write a Python program to create Cartesian product of two or more given lists using itertools. ,1
Write a NumPy program to find the first Monday in May 2017. ,1
 Write a Python program to get the number of people visiting a U.S. government website right now. ,1
Write a NumPy program to remove the leading and trailing whitespaces of all the elements of a given array. ,1
Write a Python program to find the first repeated character of a given string where the index of first occurrence is smallest. ,1
Write a Python program to create a table and insert some records in that table. Finally selects all rows from the table and display the records. ,1
Write a Pandas program to calculate the number of characters in each word in a given series. ,1
"Write a NumPy program to broadcast on different shapes of arrays where p(3,3) + q(3). ",1
Write a Python program to check if a given function returns True for at least one element in the list. ,1
Write a NumPy program to create an array using generator function that generates 15 integers. ,1
Write a Python program to find four elements from a given array of integers whose sum is equal to a given number. The solution set must not contain duplicate quadruplets. ,1
Write a Python program to extract specified size of strings from a give list of string values. ,1
Write a Python program to count the number of times a specific element presents in a deque object. ,1
Write a Pandas program to check the empty values of UFO (unidentified flying object) Dataframe. ,1
"Create a dataframe of ten rows, four columns with random values. Write a Pandas program to make a gradient color on all the values of the said dataframe. ",1
Write a Python program to find the difference between consecutive numbers in a given list. ,1
Write a Pandas program to extract only words from a given column of a given DataFrame. ,1
"Write a Python program to replace hour, minute, day, month, year and timezone with specified value of current datetime using arrow. ",1
Write a Python program that invoke a given function after specific milliseconds. ,1
Write a Pandas program to find and drop the missing values from World alcohol consumption dataset. ,1
Write a Python program to print all primes (Sieve_of_Eratosthenes) smaller than or equal to a specified number. ,1
Write a Python program to create non-repeated combinations of Cartesian product of four given list of numbers. ,1
Write a Python program to find the values of length six in a given list using Lambda. ,1
Write a Pandas program to replace NaNs with the value from the previous row or the next row in a given DataFrame. ,1
Write a Python program to sort a list of elements using the merge sort algorithm. ,1
" latitude 37.423021 and longitude -122.083739), which you can use to place markers on a map, or position the map.",1
Write a NumPy program to create an array of ones and an array of zeros. ,1
Write a Python program to find the value of the first element in the given list that satisfies the provided testing function. ,1
Write a Python program to remove duplicates from Dictionary. ,1
Write a Python program to find the list in a list of lists whose sum of elements is the highest. ,1
Write a Python program to get the top stories from Google news. ,1
Write a Python program to check all values are same in a dictionary. ,1
Write a Python program to compare two given lists and find the indices of the values present in both lists. ,1
Write a Python program to create a 24-hour time format (HH:MM ) using 4 given digits. Display the latest time and do not use any digit more than once. ,1
"Sum a list of numbers. Write a Python program to sum the first number with the second and divide it by 2, then sum the second with the third and divide by 2, and so on. ",1
Write a Python program to test whether all numbers of a list is greater than a certain number. ,1
Write a NumPy program to test whether a given 2D array has null columns or not. ,1
Write a NumPy program to convert angles from degrees to radians for all elements in a given array. ,1
Write a Python program to find all anagrams of a string in a given list of strings using lambda. ,1
rogram to display the name of the most recently added dataset on data.gov. ,1
Write a NumPy program to extract all numbers from a given array which are less and greater than a specified number. ,1
Write a NumPy program to extract second and fourth elements of the second and fourth rows from a given (4x4) array. ,1
Write a NumPy program to split a given array into multiple sub-arrays vertically (row-wise). ,1
Write a Python program to count number of substrings from a given string of lowercase alphabets with exactly k distinct (given) characters. ,1
Write a Python program to create a list reflecting the run-length encoding from a given list of integers or a given list of characters. ,1
Write a Pandas program to check whether only numeric values present in a given column of a DataFrame.,1
Write a Python program to check if a specific Key and a value exist in a dictionary. ,1
Write a Pandas program to split a given dataset using group by on multiple columns and drop last n rows of from each group. ,1
"Write a NumPy program to find point by point distances of a random vector with shape (10,2) representing coordinates. ",1
Write a Python program to create the next bigger number by rearranging the digits of a given number. ,1
Write a Python program to filter a dictionary based on values. ,1
Write a Python program to count the frequency of the elements of a given unordered list. ,1
Write a Pandas program to find out the alcohol consumption details in the year '1987' or '1989' from the world alcohol consumption dataset. ,1
Write a Python program to count the number of even and odd numbers from a series of numbers. ,1
Write a Python code to send some sort of data in the URL's query string. ,1
Write a Pandas program to split the following dataframe into groups and calculate monthly purchase amount. ,1
Write a Pandas program to add leading zeros to the character column in a pandas series and makes the length of the field to 8 digit. ,1
Write a NumPy program to compute the reciprocal for all elements in a given array. ,1
Write a NumPy program to calculate the QR decomposition of a given matrix. ,1
Write a NumPy program to extract first and second elements of the first and second rows from a given (4x4) array. ,1
Write a Python program to compute sum of digits of a given string. ,1
"Create a dataframe of ten rows, four columns with random values. Write a Pandas program to make a gradient color mapping on a specified column. ",1
Write a Python program to find the nth Hamming number. User itertools module. ,1
Write a Python program to find the last occurrence of a specified item in a given list. ,1
Write a Python program to convert Python dictionary object (sort by key) to JSON data. Print the object members with indent level 4. ,1
Write a Python program to create the combinations of 3 digit combo. ,1
Write a Python program to create an iterator to get specified number of permutations of elements. ,1
Write a Python function to get a string made of its first three characters of a specified string. If the length of the string is less than 3 then return the original string. ,1
Write a Python program to get hourly datetime between two hours. ,1
Write a Python program to display formatted text (width=50) as output. ,1
Write a Python function to find the maximum and minimum numbers from a sequence of numbers. ,1
Write a Pandas program to create a sequence of durations increasing by an hour. ,1
Write a NumPy program to sort the specified number of elements from beginning of a given array. ,1
"Write a Python program to extract year, month, date and time using Lambda. ",1
"Write a Python program to find all the common characters in lexicographical order from two given lower case strings. If there are no common letters print ""No common characters"". ",1
Write a Python program to remove a newline in Python. ,1
"Write a Pandas program to extract the column labels, shape and data types of the dataset (titanic.csv). ",1
Write a Pandas program to replace arbitrary values with other values in a given DataFrame. ,1
"Write a NumPy program to calculate mean across dimension, in a 2D numpy array. ",1
"Write a Pandas program to create a Pivot table and find survival rate by gender, age of the different categories of various classes. Add the fare as a dimension of columns and partition fare column into 2 categories based on the values present in fare columns. ",1
Write a Python program to retrieve the value of the nested key indicated by the given selector list from a dictionary or list. ,1
Write a Python program to sort unsorted numbers using Recursive Bubble Sort. ,1
Write a Python program to count the values associated with key in a dictionary. ,1
"Write a NumPy program to multiply an array of dimension (2,2,3) by an array with dimensions (2,2). ",1
Write a NumPy program to swap rows and columns of a given array in reverse order. ,1
"Write a NumPy program to create an 1-D array of 20 elements. Now create a new array of shape (5, 4) from the said array, then restores the reshaped array into a 1-D array. ",1
Write a Python program to sort a list of elements using Tree sort. ,1
"Write a NumPy program to create an element-wise comparison (equal, equal within a tolerance) of two given arrays. ",1
Write a Pandas program to split a given dataframe into groups with multiple aggregations. ,1
Write a NumPy program to find a matrix or vector norm. ,1
Write a Python program to delete the first item from a singly linked list. ,1
Write a Python program to find the difference between two list including duplicate elements. Use collections module. ,1
Write a Python function that takes a positive integer and returns the sum of the cube of all the positive integers smaller than the specified number. ,1
Write a Pandas program to import excel data (coalpublic2013.xlsx ) into a Pandas dataframe and find a list of specified customers by name. ,1
"Write a Python program to create a new Arrow object, cloned from the current one. ",1
Write a NumPy program to create a 3-D array with ones on a diagonal and zeros elsewhere. ,1
Write a NumPy program to extract first element of the second row and fourth element of fourth row from a given (4x4) array. ,1
Write a Python program to get date and time properties from datetime function using arrow module. ,1
Write a Python program to get the size of a file. ,1
"Create a dataframe of ten rows, four columns with random values. Write a Pandas program to display bar charts in dataframe on specified columns. ",1
Write a Pandas program to create a graphical analysis of UFO (unidentified flying object) sighted by month. ,1
Write a Python program to sort unsorted numbers using Recursive Quick Sort. ,1
"Write a Python program to convert timezone from local to utc, utc to local or specified zones. ",1
Write a Python program to find the difference between two list including duplicate elements. ,1
"Create a dataframe of ten rows, four columns with random values. Write a Pandas program to display the dataframe in Heatmap style. ",1
Write a Python program to remove a tag from a given tree of html document and destroy it and its contents. ,1
Write a Python program to convert a given number (integer) to a list of digits. ,1
rite a Python program that accepts a sequence of lines (blank line to terminate) as input and prints the lines as output (all characters in lower case). ,1
Write a Python program to remove a tag or string from a given tree of html document and replace it with the given tag or string. ,1
Write a Pandas program to extract the unique sentences from a given column of a given DataFrame. ,1
Write a Pandas program to filter all records where the average consumption of beverages per person from .5 to 2.50 in world alcohol consumption dataset. ,1
Write a Pandas program to extract elements in the given positional indices along an axis of a dataframe. ,1
Write a Python program to find a pair with highest product from a given array of integers. ,1
Write a Python program to move all zero digits to end of a given list of numbers. ,1
Write a NumPy program to compute cross-correlation of two given arrays. ,1
Write a Python program to get the actual module object for a given object. ,1
Write a Python program to extract the nth element from a given list of tuples using lambda. ,1
Write a NumPy program to add an extra column to a NumPy array. ,1
Write a Python program to calculate the product of a given list of numbers using lambda. ,1
Write a Python program to parse a string representing a time according to a format. ,1
Write a NumPy program to create a random 10x4 array and extract the first five rows of the array and store them into a variable. ,1
Write a Pandas program to find average consumption of wine per person greater than 2 in world alcohol consumption dataset. ,1
Write a Pandas program to convert Series of lists to one Series. ,1
Write a Python program to sort a list of elements using Time sort. ,1
"Write a Python program to convert timezone from local to utc, utc to local or specified zones. ",1
Write a NumPy program to subtract the mean of each row of a given matrix. ,1
Write a NumPy program to test whether two arrays are element-wise equal within a tolerance. ,1
Write a Pandas program to create a Pivot table and count the manager wise sale and mean value of sale amount. ,1
Write a Python program to select all the Sundays of a specified year. ,1
Write a Pandas program to print a concise summary of the dataset (titanic.csv). ,1
Write a Python program to create an object for writing and iterate over the rows to print the values. ,1
Write a Python program to remove duplicate dictionary from a given list. ,1
Write a Pandas program to create a Pivot table and compute survival totals of all classes along each group. ,1
Write a Python program to remove first specified number of elements from a given list satisfying a condition. ,1
Write a Python program to convert a list of multiple integers into a single integer. ,1
Write a Python program to find the value of the last element in the given list that satisfies the provided testing function. ,1
Write a Python program to change the position of every n-th value with the (n+1)th in a list. ,1
Write a Python program to multiply all the numbers in a given list using lambda. ,1
Write a Python program to remove unwanted characters from a given string. ,1
Write a Python program to compute the average of n,1
Write a Python program to find the details of a given zip code using Nominatim API and GeoPy package. ,1
Write a NumPy program to insert a space between characters of all the elements of a given array. ,1
Write a Python program to merge some list items in given list using index value. ,1
Write a Python function to check whether a number is perfect or not. ,1
"Write a Pandas program to split a given dataset, group by two columns and convert other columns of the dataframe into a dictionary with column header as key. ",1
Write a Python program to find the most common elements and their counts of a specified text. ,1
Write a NumPy program to round array elements to the given number of decimals. ,1
Write a Pandas program to find the index of the first occurrence of the smallest and largest value of a given series. ,1
Write a NumPy program to generate a random number between 0 and 1. ,1
Write a Python program to count number of unique sublists within a given list. ,1
Write a Python program to calculate the time runs (difference between start and current time) of a program. ,1
Write a Python program to concatenate element-wise three given lists. ,1
Write a Python program to delete a specific row from a given SQLite table. ,1
Write a Python program to find the list with maximum and minimum length using lambda. ,1
Write a Python program to convert a given string to camelcase. ,1
Write a Python program to find common items from two lists. ,1
"Write a Python program to create a doubly linked list, append some items and iterate through the list (print forward). ",1
Write a NumPy program to rearrange the dimensions of a given array. ,1
Write a Pandas program to create a series of Timestamps from a DataFrame of integer or string columns. Also create a series of Timestamps using specified columns. ,1
"Write a Python program to create datetime from integers, floats and strings timestamps using arrow module. ",1
"Write a Python program to merge two or more lists into a list of lists, combining elements from each of the input lists based on their positions. ",1
Write a NumPy program to stack arrays in sequence horizontally (column wise). ,1
rite a Python program to find the first repeated word in a given string. ,1
"Create a dataframe of ten rows, four columns with random values. Convert some values to nan values. Write a Pandas program which will highlight the nan values. ",1
Write a Python program to generate a number in a specified range except some specific numbers. ,1
Write a Python program to add to a tag's contents in a given html document. ,1
Write a NumPy program to create an array with 10^3 elements. ,1
Write a NumPy program to suppresses the use of scientific notation for small numbers in NumPy array. ,1
Write a Python program to join adjacent members of a given list. ,1
Write a Python program to compare two unordered lists (not sets). ,1
Write a Pandas program to get the length of the string present of a given column in a DataFrame. ,1
"Write a Python program to create a new Arrow object, representing the ""floor"" of the timespan of the Arrow object in a given timeframe using arrow module. The timeframe can be any datetime property like day, hour, minute. ",1
Write a Python program to cast the provided value as a list if it's not one. ,1
Write a Python program to convert a list of dictionaries into a list of values corresponding to the specified key. ,1
Write a Python program to get the factorial of a non-negative integer. ,1
"Write a Pandas program to create a Pivot table and find survival rate by gender, age wise of various classes. ",1
"Write a NumPy program to compute xy, element-wise where x, y are two given arrays. ",1
Write a Python program to search the country name from given state name using Nominatim API and GeoPy package. ,1
Write a Python program to append items from a specified list. ,1
Write a NumPy program to create an array of the integers from 30 to70. ,1
Write a Python function to check whether a number is divisible by another number. Accept two integers values form the user. ,1
Write a NumPy program to generate a matrix product of two arrays. ,1
Write a NumPy program to find elements within range from a given array of numbers. ,1
Write a Pandas program to find which years have all non-zero values and which years have any non-zero values from world alcohol consumption dataset. ,1
Write a Pandas program to generate sequences of fixed-frequency dates and time spans intervals. ,1
Write a Python program to display a number with a comma separator. ,1
"Write a NumPy program to convert a given list into an array, then again convert it into a list. Check initial list and final list are equal or not. ",1
Write a Python program to reverse a string. ,1
Write a Pandas program to find integer index of rows with missing data in a given dataframe. ,1
Write a Python program to combine each line from first file with the corresponding line in second file. ,1
Write a Python program to pair up the consecutive elements of a given list. ,1
Write a Pandas program to create a Pivot table and find survival of both gender and class affected. ,1
Write a Python program to find the maximum and minimum product from the pairs of tuple within a given list. ,1
Write a Python program to interleave multiple lists of the same length. Use itertools module. ,1
"Write a NumPy program to extract rows with unequal values (e.g. [1,1,2]) from 10x3 matrix. ",1
Write a Python script that takes input from the user and displays that input back in upper and lower cases. ,1
Write a Python program to find the siblings of tags in a given html document. ,1
Write a Python program to extract and display all the image links from en.wikipedia.org/wiki/Peter_Jeffrey_(RAAF_officer). ,1
Write a NumPy program to add a new row to an empty NumPy array. ,1
Write a Python program to find the href of the first <a> tag of a given html document. ,1
Write a Python program to convert an integer to binary keep leading zeros. ,1
Write a Python program to reverse strings in a given list of string values using lambda. ,1
Write a NumPy program to count the frequency of unique values in NumPy array. ,1
"Write a NumPy program to calculate the difference between neighboring elements, element-wise, and prepend [0, 0] and append[200] to a given array. ",1
Write a Python program to calculate the area of the sector. ,1
"Write a NumPy program to print the full NumPy array, without truncation. ",1
Write a Python program to extract all the text from a given web page. ,1
Write a Python program to convert given a dictionary to a list of tuples. ,1
Write a Pandas program to select rows by filtering on one or more column(s) in a multi-index dataframe. ,1
Write a Python program to find smallest and largest word in a given string. ,1
Write a Python program to find the length of a given dictionary values. ,1
"Write a Python program to extract year, month and date value from current datetime using arrow module. ",1
Write a Pandas program to extract words starting with capital words from a given column of a given DataFrame. ,1
Write a Python program to join one or more path components together and split a given path in directory and file. ,1
"Write a Python program to randomize the order of the values of an list, returning a new list. ",1
Write a Python program to count the same pair in three given lists. ,1
Write a Pandas program to create a Pivot table with multiple indexes from the data set of titanic.csv. ,1
Write a Python program to get the volume of a sphere with radius 6.,1
"Write a Python program to traverse a given list in reverse order, also print the elements with original index. ",1
"Write a NumPy program to create an array of zeros and three column types (integer, float, character). ",1
Write a NumPy program to stack 1-D arrays as row wise. ,1
Write a Pandas program to add 100 days with reporting date of unidentified flying object (UFO). ,1
Write a NumPy program to compute numerical negative value for all elements in a given array. ,1
Write a Python program to sort each sublist of strings in a given list of lists using lambda. ,1
Write a Python program to generate the combinations of n distinct objects taken from the elements of a given list. ,1
